5|adjust|1.40|30.00|20190804
5|adjust|29.00|1.40|20190804
5|adjust|30.00|1.40|20190804
5|deliver|1.00|3.00|20190804
5|receive|1.00|1.50|20190804
5|receive|1.00|1.60|20190804
5|adjust|10.00|1.00|20190804
0|receive|1.00|1.98|20190804
5|adjust|10.00|2.00|20190804
5|adjust|20.00|2.00|20190804
5|adjust|10.00|2.00|20190804
5|receive|10.00|3.00|20190804
6|receive|22.00|10.00|20190804
7|receive|100.00|2.80|20190804
7|deliver|20.00|4.00|20190804
6|adjust|22.00|11.00|20190804
6|receive|22.00|22.00|20190804
6|receive|30.00|1.00|20190804
6|receive|30.00|1.00|20190804
7|receive|30.00|2.00|20190804
7|receive|30.00|2.00|20190804
7|receive|30.00|2.00|20190804
7|receive|40.00|2.00|20190804
8|receive|50.00|2.00|20190804
7|receive|40.00|2.00|20190804
7|receive|1000000.00|4.00|20190804
7|deliver|999999.00|12.00|20190804
7|deliver|1.00|1.00|20190804
